"device_id","origin_geoid","overlap_origin_lat","overlap_origin_long","destination_geoid","overlap_destination_lat","overlap_destination_long","start_timestamp","trip_duration_sec","trip_scaled_ratio"
"ZWQxMDFiYjg0MzB0bzoxOTg5bmJ2dHVlc2cz","130140037",20.897391,-98.544166,"130140037",20.894601,-98.546999,"2023-10-27T19:43:22",395,80.21
"MjIycTE2NGtucGh0ODo3cjJua29ydTFyOXZs","130240033",20.229371,-98.489578,"130240033",20.229242,-98.489535,"2023-10-25T17:02:56",510,75.58
"MTZidDJlOXQ5cjQxZTo1Y3Y1bjU5NmtkMGpq","1304800010764045",20.099037,-98.78226,"1304800010764045",20.098951,-98.781874,"2023-10-02T19:55:19",830,4.69
"OTBmYzY1dmN2YXVyNjo4bDAxMGcwMDlqcWxr","1307500010155013",19.966815,-98.923109,"130750013",19.96896,-98.930576,"2023-10-26T17:05:09",1224,5.78
"ODk1b3NqYjBucTY4cTpkMms0ZW5vYTJlZWoy","130840012",20.899236,-99.233601,"130840012",20.89915,-99.233601,"2023-10-09T19:17:05",308,67.4
"NjhtMGs4MWttb2lrajo0bDZqamhqZmh1NXVz","1302800230367019",21.108406,-98.587854,"1302800230367026",21.108148,-98.584721,"2023-10-27T17:52:17",303,66.35
"MmdnODF0MDVuOHMzbTplazNjODBmcjJ0dG00","1303000010242022",20.487421,-99.219911,"1303000010242012",20.491455,-99.220726,"2023-10-11T17:45:02",502,17.79
"NzU2ZHZqcmtrcjBncjpmbmRzaGF2MnZrb3F1","130160046",19.899094,-98.284528,"130160046",19.899051,-98.284528,"2023-10-11T17:25:10",402,95.67
"NnBidWw2OW9vMGprMjo1Mzh2OXRkYTBmNm1n","130690016",19.871671,-98.957956,"1306900440764046",19.87107,-98.964865,"2023-10-19T20:55:31",2371,28.36
"MnBiOGo0YW1ndnJwczo3bmtlbW4xZXVqaWo1","130140037",20.900781,-98.454988,"1301400100041063",20.902841,-98.450139,"2023-10-05T17:46:03",480,91.48
"YjY4aWJua3NrdTBzcjpkMGd2NTg4dXY4ZXZh","130170039",20.223577,-99.490836,"130170039",20.227439,-99.49693,"2023-10-06T17:14:09",662,54.73
"ZjZjNnU3bWxqNjB2bjoxOXNoMWZvY2I2OWhv","1303000010346014",20.48682,-99.209139,"130300026",20.49197,-99.208496,"2023-10-25T18:39:53",472,12.6
"NjN1c2NydjFrN2E4bzpsZWxoOW5qc2lmcW8=","1306900010247001",19.819915,-98.97362,"130690001004A023",19.822319,-98.973362,"2023-10-06T18:38:29",308,7.21
"NmYwYTNjMm0xYXZ0bTo5czM2aXRrZnJtdXZ2","130280051",21.076562,-98.479922,"130280051",21.07549,-98.481381,"2023-10-03T18:07:49",1033,58.14
"M2UxcDFxZWM5YmZlcjo0MGl1ZjVyZDM4bjg4","1306100020501023",19.771378,-98.582532,"1306100020499022",19.776442,-98.579872,"2023-10-19T20:40:35",590,12.99
"OTltNTRyZGMxNzRjcTpiaWwxa3Q1ZnVtaGR0","13030005A",20.425279,-99.164808,"13030005A",20.416825,-99.164979,"2023-10-02T17:52:55",818,16.7
"OXJwOTlpZ2NpcmtuZDo1dWJudGJwZWViODFt","1301300290453025",19.903858,-99.237077,"1301300290449027",19.901583,-99.239137,"2023-10-20T19:08:07",366,25.96
"MWVmMDlkaWRib3BndDphZzZhYTJxOGxzaWow","130640003001A002",20.157487,-99.348657,"130640003001A031",20.152681,-99.349086,"2023-10-13T18:32:28",501,41.66
"MWpsbWxsa2Nrbm1razpjZWI4dDhhdmZnbmYz","1308301330369014",20.020716,-98.792045,"1308301330320024",20.018227,-98.790286,"2023-10-10T17:40:20",634,13.92
"NDVsaTk1NXNiZ210czo5NmlsMHQ0dm5hbDd1","1305101461626001",20.09732,-98.709562,"1305101461626001",20.09732,-98.709605,"2023-10-24T17:05:48",223,2.64
"Y2g1dmQzZTVjNHJ1aTo0cGliamZydG1maWd1","1306300010258012",19.904587,-99.347713,"1306300010258013",19.905531,-99.348786,"2023-10-23T20:49",259,6.96
"OTRqYWpkb2E0bGpoZDoxNnU5OGFyc2Y1OWJv","1304800010228012",20.117276,-98.728015,"1304800010891017",20.120494,-98.725526,"2023-10-24T18:39:59",421,3.89
"ZG5jMTVvam8yZ2prcTo0cjFycGI5NWNoZzZ2","130510577",20.064833,-98.759301,"1305101341876010",20.058825,-98.756468,"2023-10-30T17:58:13",750,14.8
"NXFhc3ZudG45ZnA2cDo0NzNxdmJqbWxmMnA1","130550010",20.41734,-99.020355,"130550010",20.417254,-99.020655,"2023-10-23T17:05:28",545,10.08
"ZmtiNDR1bDZoczNzcTpjcTQzdTNxdnZxaTVy","1306100020376029",19.774897,-98.572791,"130610002047A015",19.778373,-98.568413,"2023-10-30T19:20:11",1075,5.8
"MjMxNHFsYW05M2NwZjpkM2Z0M2xydWk5bWlw","1307700010268045",20.076292,-98.35345,"1307700010624004",20.07848,-98.361089,"2023-10-27T18:23:58",1099,4.91
"NmU5ajgxMWlybXQ4Zzo2OWc0YTJocjRlZmlz","130070028",19.6819,-98.333452,"130070028",19.689753,-98.331306,"2023-10-23T19:48:04",725,32.09
"OTVwMWcxbzY1Z202cDo5MGw4a2FsYjFyOGZx","1304600040223018",21.165655,-98.664501,"1304600040223018",21.165698,-98.664629,"2023-10-10T17:35:01",1065,26.07
"Mm5vcXZpNWRqYTE4djpkamo0Z3M3cTkzODJh","130280051",21.076519,-98.479922,"130280051",21.076648,-98.479235,"2023-10-02T20:45:16",330,80.75
"NWIzczUyOGJqdjM5Nzo3cmRsaGhtaTlxa2Fp","1302100010101015",19.65512,-98.544595,"130210001007A007",19.652545,-98.543565,"2023-10-06T19:28:10",454,9.55
"Y3E2MHE2NHNzZXU3NDoxbzhndXA5NjIxNmc1","1301300290415012",19.896991,-99.234631,"1301300290400046",19.895704,-99.238536,"2023-10-04T17:18:54",421,16.4
"N25jc3VrbjA1MWtpaTp1ZjZhbDNpdmN1a2w=","1306300010328021",19.922569,-99.340675,"1306300010385001",19.926131,-99.34325,"2023-10-26T17:23:09",449,54.39
"ZXFkdWc5anAzdjh2bzo4bXQwOWh2bHQxbDE3","1307300010127004",20.99056,-98.659008,"1307300010127016",20.992277,-98.656647,"2023-10-11T19:26:56",460,27.22
"NWY1MGh0OThhN2JxcDpmZ3NoNzVpM3Z2cmMw","130520019",20.123842,-98.937228,"130520019",20.123885,-98.937228,"2023-10-03T18:56:57",437,47.78
"Y3VlYWgycGx0ZnBkODpjcTkyMDgwcG1xbm5q","130830072",19.957845,-98.711107,"130830072",19.956,-98.714325,"2023-10-20T18:33:31",348,20.81
"M3NpdnMyNWJjYTlpMzoxMzY0ZWtsNTg5Y2c=","1303000010204029",20.486863,-99.215662,"1303000010242059",20.49197,-99.218409,"2023-10-27T17:52:24",793,15.76
"MjlxMjdlYjlsMXZtaDo1aGR1cmxpcGZjcm9q","1304800011508033",20.070326,-98.770072,"1305101301842007",20.066936,-98.76827,"2023-10-04T17:55:42",509,4.64
"Y3RtZGI3bjRoOGY2bzo4a3JxbTAzM2VjcXZx","1304800012737006",20.106418,-98.72587,"1304800010213030",20.112426,-98.73132,"2023-10-16T17:36:40",1018,6.21
"Ym0yZTJjYzVzNzUzZjpmcWQ0dGVrcXRsMTZs","1305900010147001",20.535872,-99.654772,"1305900010147004",20.532396,-99.651124,"2023-10-30T18:23:13",481,106.68
"NmdpcWNzZ2ZuYmlqMDozbmtha3A5dDFmaGxj","1306100020658040",19.761336,-98.577254,"1306100020662025",19.755671,-98.573091,"2023-10-19T18:36:13",829,14.58
"YXNpNzhnNHNwbWgyajpkNjJkaHY0MjYyNmJ2","130280047",21.086648,-98.499105,"130280047",21.08433,-98.49726,"2023-10-30T17:58:06",312,145.36
"YWpkcGZzMXJhZ29hNDoybDNmcnU1NjQwMGtn","1304600040238004",21.163037,-98.66802,"1304600040223030",21.165655,-98.666389,"2023-10-27T20:13:14",376,486.5
"M20zODh2MHR2cjRkaDo0c2xvNnRuYXE2YW52","130230017",20.248854,-99.043314,"130230017",20.245378,-99.037006,"2023-10-03T17:49:33",837,20.79
"ZDltMDEwNjZsbGlwMToycHM2YTMyZWk1NWli","1305700010072014",19.967844,-98.51846,"1305700010087035",19.970505,-98.525584,"2023-10-13T18:23:06",775,45.47
"OHJoYnFtaHE3bmc4Zjo0dmI4M3R1ODNnbmFw","130760025",20.06861,-99.340203,"1307600010237001",20.062988,-99.344366,"2023-10-04T18:04:58",575,8.13
"OW8wa3JubWlhMWxhbDpibWNub2l0ZzNvYmpx","130370012",20.641744,-98.826892,"130370012",20.64213,-98.825433,"2023-10-13T19:05:32",279,57.98
"NnRmcm9lNWdzcTgwaTpkZDJ2YWtiY29nYWlw","1307700010037004",20.088308,-98.358128,"1307700010018017",20.091355,-98.36345,"2023-10-19T17:44:28",718,15.73
"OTNvMWVuMGNwczI0azphYjBvZnVmdW02dnUx","130080001028A018",19.720094,-98.450482,"1300800010256008",19.720953,-98.451855,"2023-10-06T17:52:05",420,16.36
"ZG9tOTc0Y3IxbHVmZjpjZWozZWZtdGIzYzln","1306900010232001",19.838498,-98.975208,"1306900010232002",19.837897,-98.973405,"2023-10-20T19:42:36",235,4.55
"MTlwbzY4dHFicGVwcjozbDRxdDZ0M2xmbGpy","130600001003A024",20.339577,-98.224447,"130600001003A013",20.337946,-98.228095,"2023-10-27T20:17:42",433,19.46
"MnI2YnAxNGQzcGZocTptbW80dmxpZTRtM3Q=","1306800010042038",20.72633,-98.625791,"1306800010042007",20.728004,-98.631842,"2023-10-10T18:58:06",609,19.59
"OWpyN3RiYzY5NDg5cDpjbWhkcHRpbGo4bjQz","130770145",20.147574,-98.333151,"1307700680944018",20.147746,-98.337357,"2023-10-20T17:04:35",531,22.68
"YTdpZjU2NzdiZmZ1OTo2ZXJybWw2dm05NDhn","1305101391560027",20.06788,-98.732436,"1305101391575010",20.069854,-98.731964,"2023-10-02T19:15:36",264,17.09
"YnJ2NGprOTZlbDFhOmN1MWJ2YnRoZW1icmk=","1308100010152020",20.644062,-98.660767,"1308100010237001",20.649855,-98.659995,"2023-10-26T17:39:26",685,5.01
"NGg3cTF0dGEyNTljYTo1Z2YyMHJwc2VuNnA=","1303000010134030",20.466521,-99.21253,"13030005A",20.463731,-99.209268,"2023-10-03T17:53:02",783,12.2
"YjV2Y3VoYm5vcWdjbzpkZXRzNjU5a3U1bWx0","1304800010139011",20.124443,-98.739259,"1304800010139004",20.124013,-98.738444,"2023-10-06T18:37:44",237,7.92
"ZG5hdWFpdmd1bTYzazpmYWlxb2doYTRic2Qw","1306900501141001",19.872015,-98.976495,"1306900501160010",19.871328,-98.974864,"2023-10-09T18:48:29",332,12.39
"NnNjaDZibWhoc3U3ZTo3c2FoNXFhM2RqNDlw","1304800010478049",20.120666,-98.772991,"1304800011391022",20.122297,-98.774621,"2023-10-12T20:20:06",290,21.36
"ZTAwYW92bjNqaWw1dDo1dGRvcWlrOGRqMWcy","130590077",20.508835,-99.66593,"130590077",20.51214,-99.673269,"2023-10-30T18:53",1294,67.59
"YmYza25lampxZnIwYjoxMTV1NGk3bDZ1dDln","1301400100041032",20.901511,-98.452241,"1301400100041036",20.900781,-98.452156,"2023-10-05T18:42:02",382,34.07
"NThpZXFiOHZraWFkZzoyZnA1NXJqanZlb3Zq","130600010",20.359275,-98.160503,"130600010",20.357945,-98.159001,"2023-10-11T19:42:23",216,109.17
"Zmx0NzkydW4zYmQwNjoyNXRpMnVvY2MwYjJq","1302100010101003",19.656665,-98.543093,"1302100010116006",19.656622,-98.5479,"2023-10-18T17:48:01",488,15.14
"MWhzbHY2NHBhdmRxdToyM241bWVtdmduOXNi","1302800230348020",21.101325,-98.586524,"1302800230367003",21.107419,-98.584034,"2023-10-04T20:32:02",587,50.67
"NDBpMmttcHF2bjBwODpicmtkZnNxOTk2YTNr","1304800012544068",20.095518,-98.78608,"1304800011974025",20.097749,-98.783591,"2023-10-25T17:26:13",350,6.08
"YWQ0cWFua202aGZyZjo4cjhndXNhamkwbWxo","1304800011118019",20.124099,-98.77269,"1304800012120005",20.125945,-98.773377,"2023-10-11T17:23:21",578,18.43
"amljcGZuaXB0NWNwOmE3bm0yN2Exa2l0ZXI=","130690016",19.828112,-98.944266,"130690016",19.827211,-98.948643,"2023-10-10T20:34:28",597,5.27
"YXMwZnJ2NDg0NjI5NzpibmhmdTZhbGRib2lo","1304800011601026",20.105817,-98.728273,"130480001100A057",20.110538,-98.727887,"2023-10-06T18:13:15",544,20.45
"NGEyZjgxNmxpMmw2NjoxbGxqbms4cmZvNG5r","1302900010256004",20.374424,-99.650824,"1302900010260001",20.376227,-99.647949,"2023-10-10T18:34:47",364,2.79
"OTk4N2NhYWZwNWs1cjphNXIzM200bW1nMmV1","130280047",21.075146,-98.535669,"130280047",21.080811,-98.534896,"2023-10-10T17:41:25",1948,64.79
"OGc5NWoxdW83YWJtMzo4a2FpN2ptaWkwZ2I=","1302800010259001",21.142995,-98.416364,"1302800010263001",21.136858,-98.414004,"2023-10-09T19:17:20",745,7.24
"ZXZ0dnY5Z3RoYnF2ZDo4N3YwMnB2Y2JuaDlx","1308301020176040",20.027883,-98.788226,"1304800012845026",20.030286,-98.784621,"2023-10-04T17:02:12",695,3.55
"MTZhcGJiNXV2OWRlOmJ2bGNjZnBmb2libXA=","130840065",20.752766,-99.334838,"130840065",20.748646,-99.332778,"2023-10-12T17:57:27",584,4.58
"ZDJnbnMzM3A4cDQwazp2c2xlYWduM2RoYjI=","130300045",20.480254,-99.279521,"130300026",20.481627,-99.282997,"2023-10-05T17:47:08",417,78.03
"Mms0YWR2Z3MyNzQ0cDo4NG90MDF2YWJ0bnUx","1304600270242001",21.17398,-98.656003,"1304600270257011",21.169517,-98.657463,"2023-10-04T17:11:06",713,80.74
"YWl0ZzJrZ25lOXI1djo4b2k1OWhwajh0aDg3","130630031",19.84515,-99.279649,"130630031",19.845707,-99.279735,"2023-10-12T19:08:27",154,1
"ZWsxMHFqNWFkZzVwYjpkaW5yb2JlZ3FyYXFj","130300030",20.588701,-99.165065,"130300030",20.587199,-99.167855,"2023-10-09T19:50:56",334,27.98
"ZWMyaHBhYThzbDBrMzpjcTFydXYxZDg5dW1j","1305101031378007",20.082085,-98.740332,"1305101031378001",20.082557,-98.741491,"2023-10-20T18:29:45",167,1
"OTNzazliMmg0dGR1Njo1NDVicjRsM3ZobG83","1302900010256023",20.379403,-99.650481,"1302900010260010",20.374939,-99.650223,"2023-10-03T17:25:22",545,3.28
"OXRrc25pbGFwdTRrZzo1N2g0amNuM2w3NWVu","1304800011090019",20.116546,-98.718274,"1305100291202029",20.111911,-98.715184,"2023-10-03T18:32:05",822,7.46
"YXQ0a2hvY2NnMXVmbToyN2lxMmMwZjlyNDh2","1306100020376003",19.77318,-98.574378,"1306100020412053",19.770091,-98.569829,"2023-10-09T17:50:45",802,7.22
"M3Q3c3I0MDBtajBwYzo5aW1xbWIzb2dydnJv","130140037",20.900824,-98.45001,"1301400100041016",20.902841,-98.450267,"2023-10-27T18:34:34",226,94.37
"YjVpOXUza3M3YTN2djplMGk2cHRjOTFzYzl2","130690050118A010",19.868066,-98.967483,"1306900501160010",19.871199,-98.974822,"2023-10-26T18:14:17",905,21.56
"OWlrZGxoN3J0bjc4bTo3ZzhzZnZpNjlyOGhw","130790001007A032",20.776026,-98.67995,"130790001007A002",20.778,-98.678234,"2023-10-02T18:52:42",316,428.26
"ZDYyZGpwZWpob2lqMTo5b2Zqb3VocnE5OXQ0","1304800011550027",20.097749,-98.768184,"1304800011550027",20.097663,-98.767927,"2023-10-24T20:25:01",928,1
"NjZuY25ydGN0aGtuYzoxOHZiYnVybzkwZnBq","1304800010478031",20.118306,-98.776081,"1304800011936007",20.120709,-98.782303,"2023-10-13T19:53:24",903,4.41
"M2U2c3JiNjViNTl2bToxaG9mNXRxbDM4MHQ=","1301000070038011",20.080411,-99.223731,"1301000070038005",20.075347,-99.225404,"2023-10-27T19:55:19",661,7.78
"anZxcm51MXNnNGVjOjhhNXZyZWtiMjQyZmU=","130190014",20.375326,-99.21768,"130190014",20.377042,-99.215834,"2023-10-13T19:08:44",423,38.5
"MXIwZnI1bXNxNGdvcDpicTkwdmM0cG5ubzFy","1307700010111028",20.08054,-98.369544,"1307700010713024",20.072558,-98.366625,"2023-10-02T18:37:22",1012,3.58
"OWZvMXBhZzYyaHEycTpjMnZnbGZsNHQzdHQy","130280047",21.105402,-98.528545,"130280047",21.105402,-98.528416,"2023-10-06T20:40:14",1009,87.56
"NWc0ZzlpanBucjZ0bzoxcmQ4cWQ5bWs2YjZ2","1305600010200014",20.037711,-98.355639,"1305600010215023",20.032518,-98.350489,"2023-10-11T17:42:03",1050,4.01
"Y245cWpvZHU0ZWYyZzo1amk2MjA4NmNoNjRp","1303200010054012",21.130378,-98.540089,"1303200010073045",21.127803,-98.541462,"2023-10-19T17:10:28",260,34.19
"N21pamVjMXVtbjBwZTo3dDFybnFkbzE5bGps","1305100041077039",20.087192,-98.709433,"1305100041077022",20.089037,-98.706601,"2023-10-10T19:32:40",1149,3.6
"OW02OWZubGQ1NTdjbzpidm9xOHAwYTJ2NzY3","1307600010114013",20.053589,-99.346554,"1307600010114013",20.053761,-99.346683,"2023-10-03T20:54:58",35,1
"ZXU1ZmdmZHUxbnAzbzo3OGo1MTI2b2NyZG0w","130690016",19.867637,-98.990443,"130690016",19.863775,-98.993361,"2023-10-20T18:49:30",1012,8.06
"ZTBqYmJhN2Izamw1ODo5ZGM0cTNicm01dmI=","1306700090454021",20.158174,-99.232271,"130670011",20.16238,-99.230039,"2023-10-25T18:49:04",448,19.23
"YnFkMnJycTExYm0wbTppanVwbWI3dDk0MzQ=","130690016",19.864891,-98.924525,"130690016",19.864547,-98.932292,"2023-10-30T19:21:54",1070,12.96
"NmJoaWw0c2hlM3MyaTpiZTIzc2hnZm10cXN2","130230017",20.246365,-99.036019,"1302300120055035",20.250056,-99.036148,"2023-10-30T18:09:44",896,14.82
"Mm0wMTdmcmZxcTZrMDpka2RxZGFzMG1udDc=","1307600220538043",20.038569,-99.331834,"1307600220538010",20.040286,-99.329431,"2023-10-03T18:32:50",582,10.46
"NzhrbjFhZXBwaW41ZDoyaDhrbGVvcjRmM2Zn","130620015",21.155355,-98.797667,"130620015",21.155097,-98.79844,"2023-10-03T18:01:54",351,146.31
"NWhtZmRycmFmcTVvODpiZDlwczhhazhiYWk4","130430024",20.793149,-99.126527,"130430024",20.793579,-99.12082,"2023-10-30T18:46:55",546,263.48
"NGluM2xwM3BkZTNkYTo1YjNnZWFtMW83N2Zt","130600025",20.338333,-98.233073,"130600001003A059",20.340865,-98.227665,"2023-10-05T18:36:42",617,12.02
"NGI3ZmltdTE4dGVkZTo3aWs0NTgzdjNoMzd0","130780015",20.810959,-98.305514,"130780015",20.809801,-98.308132,"2023-10-02T19:25:11",235,182.98
"OGM3aDNuNm02MzdlaTpibXRkNXZhaWhwZjhu","130760025",20.09865,-99.340374,"130760025",20.094016,-99.342606,"2023-10-05T19:52:47",1175,7.65
"OWowaWszdDRrcG1wZTpmdnRiOHVtdWRyaHJz","130150049",20.644534,-98.992331,"130150049",20.642989,-98.992674,"2023-10-26T17:03:52",544,74
"NjdzajJzczE3bDEzNToyMmZ1ZzI4NzBlNmRo","130690016",19.865191,-98.993618,"130690016",19.860985,-98.99276,"2023-10-30T19:53:09",1224,21.58
"MW5jbWZydGpmazUzMjpja3ZvNDkxbmJmcHQ5","1306100020658011",19.760778,-98.576868,"1306100020395050",19.767644,-98.573821,"2023-10-25T18:34:07",1182,5.44
"N2JmZ3I5Y2U3bmcxdDo2bGptMm84YmdkMHNh","130520038",20.112641,-98.94345,"130520038",20.112984,-98.947656,"2023-10-30T17:23:01",348,83.71
"NjFldXZnNzdqaGFmMjoyOTEzcTViM3Q5YzFi","130600025",20.33035,-98.219426,"130600025",20.328162,-98.2214,"2023-10-26T18:22:06",1177,54.04
"NW04dTI0MDV0M2lwaTozMG40YmRvcW9pN2J0","1307400010162016",20.089295,-99.226606,"1307400010124005",20.093629,-99.219439,"2023-10-06T20:44:49",1012,22.33
"MWlhNjkyNGc5dmE0cToxaTh2aGp1dmszNDcy","1302300010036025",20.241945,-99.090264,"1302300010036001",20.245421,-99.092238,"2023-10-06T18:38:49",445,10.32
"NTc5NmJtNGVmOHU0cDo4b2ZsZ2JibHBpZzcx","130540013",20.322411,-99.019711,"130540013",20.32151,-99.012716,"2023-10-05T18:29:10",883,25.72
"N3YwcDEwbXZnYjBjYTo2NTgyM2s0c29iaGVs","1301600290277032",20.03814,-98.283026,"1301600290277020",20.036938,-98.286116,"2023-10-20T17:23:07",358,17.33
"ZnIwZ2N0ZDFkN3ByNTpmZW8yOTVsYm83cW03","1300200450017002",20.194609,-98.241956,"1300200450017002",20.197055,-98.240798,"2023-10-24T20:12:37",774,19.6
"YmoxdHVtdTc1cjJsaTo1NW1wdmdoYmZ2dXZx","1307600010379025",20.060928,-99.342434,"1307600010379001",20.058396,-99.343979,"2023-10-10T20:52:18",491,5.1
"OGliYWtnYXVkOWl0dDoybDBwdWJwZzd1M28w","1305100551221007",20.080841,-98.736598,"1305100551221009",20.081098,-98.739431,"2023-10-25T19:17:24",371,3.69
"OGduYWV2ZDU2anA5ZjplOGxodmxpanV0NGJr","1302800010329018",21.130979,-98.410614,"1302800010263005",21.13703,-98.412373,"2023-10-27T20:08:15",819,9.84
"OXZhaDU0Y2RnaWRxMToyMGppY25ydHI1NDQz","130740016",20.096977,-99.286129,"130740016",20.093329,-99.287031,"2023-10-02T17:09:13",1133,111.03
"NGxnNzZuZGU0aThzODphY2lvcm12aGdlNWVs","130200034",20.709121,-98.837535,"130200034",20.707705,-98.836677,"2023-10-23T19:56:30",313,37.27
"ZjdycGI1Z211cGhyODo5cW5pNmF1ZTloYmRk","130510577",20.051873,-98.713081,"130510577",20.051787,-98.713167,"2023-10-18T19:41:39",1123,4.59
"ZWNyNTdiczVrOWY0ODplZDRrbmI3aDA3ZGVj","1306300060563011",19.945099,-99.283125,"1306300060563017",19.950206,-99.283426,"2023-10-05T20:02:23",831,40.81
"Y3QwdjcwNmU4cWJlOTphbDk2NmJrYjVpNW5l","130050038",20.172808,-99.050438,"130050038",20.174525,-99.046876,"2023-10-05T18:34:46",331,9.42
"MmZ1OGgxODE3aWp2ZDpkbDBpam1vOWlkbnBk","1302200010062011",20.01106,-98.643558,"1302200010062011",20.011618,-98.643172,"2023-10-09T20:32:05",629,8.72
"NzNjMmlqNmVoazZlNTo4MDE4ZWpzb2NjZjBk","1305101211486002",20.09526,-98.701665,"1305100030223023",20.096333,-98.698704,"2023-10-13T19:52:48",347,9.82
"OG0xaGhmaXNvdDNsdTpwczhsZTk4aW1hbzU=","1305200010288010",20.11174,-98.89354,"1305200010269034",20.106676,-98.886759,"2023-10-26T20:30:25",1095,12.61
"ZmhncGF2MGtucjMwdjpibTJiZzZlZWljb3Iz","1302300140125005",20.215337,-99.064987,"1302300140125040",20.213149,-99.062927,"2023-10-11T20:53:21",257,10.11
"YXRic3RqYnNmcmhqcTo0MnE1NnNqb29kYzVz","1304800010980005",20.111997,-98.744838,"1304800010995051",20.106547,-98.742049,"2023-10-26T20:12:43",1582,9.01
"OTZtNGo2dnZiNzM1YTo0dWoxc3BlZDk1N2Vq","1306600010048040",19.874804,-98.810842,"1306600010048018",19.875405,-98.815091,"2023-10-11T19:04:26",518,17.21
"Y2pjdWFqdTRzMWFjODo3ZDJwdjEwMG0yNjZi","1304800010586019",20.064104,-98.783119,"1304800010586019",20.063632,-98.785565,"2023-10-10T17:27:36",375,4.35
"Ymlmc2tqMTJpcDF1ZTphZThlNm9jZGMydG9s","1305100551221020",20.082085,-98.739688,"1305100551221020",20.082214,-98.739731,"2023-10-19T19:43:51",22,1
"NWEwc2hxdXVzbnFraDo0cXBhaHI0MDcxMnVy","13013003A",20.005224,-99.186738,"13013003A",20.005782,-99.184549,"2023-10-17T18:08:15",253,7.59
"NGFzNGZwZ2NxaGJzbjo4M2lnY2JuMWtsM21y","1300800110311020",19.637139,-98.46885,"1300800110311002",19.640315,-98.470652,"2023-10-17T17:37:27",420,26.38
"NjA0YWxhcjVmOHFwZjpobmlqYW85OGdscnM=","1308200020198019",20.023334,-98.837407,"1308200020056018",20.019557,-98.844101,"2023-10-13T18:36:32",925,50
"N2RpZnM1aTBuY2RiMDo4M3Q3czhuczJqY3Qx","1305000010048024",20.24791,-99.189742,"1305000010048008",20.246494,-99.184549,"2023-10-10T17:49:40",600,16.82
"NmFxZ3ZnNjNiNTFoMzoyMWU2MG1rZjVyZWpo","130120001",20.286834,-98.667848,"130120001",20.290396,-98.667934,"2023-10-24T18:28:56",356,3.89
"NW8ycmRwc2hyMGxhczpib2hubDE2cDRhOWQ2","1307700011177022",20.070198,-98.385808,"1307700011177022",20.068953,-98.383963,"2023-10-16T19:20:53",238,9.54
"MzQ0Y3NocnY1ZTZlOToyM2FldTRnaTM2a2Zs","1306400060024004",20.168002,-99.378569,"1306400060024001",20.169246,-99.37681,"2023-10-02T19:41:10",241,48.78
"MmpzMG5nNGQ4bHB0MDoybXJybHAzdTF2MWU3","130460011",21.363194,-98.50374,"130460011",21.36122,-98.504384,"2023-10-03T18:22:43",320,818.54
"OTdvaWo1dTJ0dmJ1NTpmNDhua24yaW50dHY3","1304800012135014",20.124829,-98.760073,"1304800012135007",20.126245,-98.760245,"2023-10-09T17:40:49",313,8.31
"M2trdG9sMHNpMmxrODplNTJoODMzOGFmMW1l","1304800011565009",20.089295,-98.777368,"1304800010548006",20.085561,-98.778183,"2023-10-30T17:47:53",448,40.27
"NXYzdGxvZDJqdjZlcDoxc2Y4M2k2YTBiM25y","13015002A",20.632818,-99.083397,"13015002A",20.6408,-99.080093,"2023-10-03T17:11:38",1427,28.5
"NGgyYW1uaG00NXFqbzo5YWNnMXRkcGNzMTY1","13020002A",20.751178,-98.90238,"13020002A",20.750406,-98.905213,"2023-10-17T19:22:10",365,56.19
"YTU0dWxybzkzcnM4czplazUzYW5ianZsYmI5","1307700010075034",20.084875,-98.35654,"1307700010060002",20.08436,-98.359973,"2023-10-02T18:29:49",386,12.18
"ZmtmbTdsbnVxbjBpYzoyMW9uNTd1a2w3czRt","1305200010292020",20.115516,-98.88633,"1305200010288022",20.116289,-98.887446,"2023-10-27T17:05:29",240,10.05
"NWJrcWk4YjNvdW1vcjo0ZDB0dHEwbTI2dWIw","1305100270721006",20.066378,-98.717544,"1305100270670004",20.058696,-98.719819,"2023-10-19T18:22:24",738,8.22
"YjgzZW81aW1qMzRydDozZjg1OW80anRpcjZh","1300400010079033",20.347087,-98.361046,"1300400010064025",20.349662,-98.360403,"2023-10-10T20:57:33",428,38.35
"OHFmNmM5a2JucXNodjo1M2pycTNoazJjZ2My","13083002A",19.903686,-98.694928,"1308300010250004",19.910123,-98.690894,"2023-10-05T19:37:14",786,1.98
"OWZxY2k5NmpzMmNlajozNzEyZWd1dTVjc25s","130120001",20.278809,-98.652098,"130120001",20.27868,-98.652012,"2023-10-02T17:47:35",756,16.1
"NHZpNXBlMW1kbm1qdDpjajY3YXNpOXA5NDYz","1308100010237001",20.649383,-98.661454,"1308100010148034",20.646937,-98.663385,"2023-10-24T18:38:52",482,5.46
"OHMzcjNrbWFnMmw3aTplZjc3M3Y2am8zanBu","1306300200525030",19.913642,-99.326899,"130630020053A040",19.915831,-99.323423,"2023-10-30T17:42:33",441,28.98
"Y2g2c2FidGE5bGdsNTo3bHI0MjljYWs1a3Zl","130350018",20.283616,-98.348172,"130350018",20.286577,-98.346369,"2023-10-10T17:24:10",403,8.2
"NjljOTNhdHQzdHZhOjM2Z2RiOGhubmEzOWo=","1306600010048029",19.882786,-98.818867,"1306600010029012",19.880126,-98.819511,"2023-10-06T20:18:40",265,11.61
