"device_id","origin_geoid","overlap_origin_lat","overlap_origin_long","destination_geoid","overlap_destination_lat","overlap_destination_long","start_timestamp","trip_duration_sec","trip_scaled_ratio"
"OHVqOWdnbmY2OGtqbzozMTI3cmZzMmdyaTYz","130690016",19.863861,-98.941219,"130690016",19.863946,-98.941348,"2023-06-18T08:44:26",734,20.18
"Y3Bpc29pNGN2NmRtaTo1aDVvcTQxaThsYW91","1307600080701006",20.056937,-99.297159,"1307600080966007",20.045993,-99.301407,"2023-06-17T10:23:56",387,36.33
"Y2txNm50OGJrZ2plcjo3aGM5cGljYWRpc2dy","13083002A",19.888537,-98.629353,"130830034",19.879181,-98.617122,"2023-06-24T09:02:16",1133,21.63
"ZG5paTlnczZpbG4zcDo4cXEydnJra2RpMXUx","13030005A",20.417082,-99.165108,"13030005A",20.425365,-99.164765,"2023-06-24T07:56:29",414,21.63
"ZG5zYm03bnRjdW9oNzpwNWJ0MGdwNTV2Ymg=","1300300070029022",20.290568,-98.949201,"1300300010103003",20.275118,-98.95684,"2023-06-25T06:13:35",614,111.1
"MmphaTJmbmNmcWZhYTo0dGUxaG9tZW9ubXNu","1306100020107009",19.769619,-98.589871,"1306100020431013",19.782064,-98.582489,"2023-06-18T10:49:57",372,20.18
"ODgzZXFyZ25rcnB0Yjo5cmVpNHIwNGcwaWdp","1306300090493040",19.836867,-99.329002,"1306300090506026",19.823134,-99.323165,"2023-06-11T08:41:30",427,159.92
"YmVpcmpkcTRhazFrbzpkajNuaWJrZ2lwbWYx","1300800010171040",19.702971,-98.46576,"1300800010167014",19.703915,-98.45237,"2023-06-24T07:37:08",322,65.28
"MmRsNnNvcXFxbXNqYzoyYWY1NDdxa2x1c2xl","130760063",20.050027,-99.320033,"130760063",20.049984,-99.320033,"2023-06-25T10:52:45",655,42.46
"ZjB1YXZzdjZjNnBjdDpiNWd1ODVlaW5zMDc2","130510577",20.081398,-98.749988,"1304800011565009",20.089166,-98.777411,"2023-06-25T11:16:12",716,23.29
"N2hlOTY0MDlmcnJqNDo1cWNtZ2trcDljZGxm","130690016",19.875319,-98.93461,"130690016",19.868238,-98.941262,"2023-06-04T06:23:03",558,21.07
"Y3Bzc2ZlMWg5c3EwZzpkZW9xYzQ5OTRkb2Jx","1306300010120008",19.912441,-99.336212,"1306300010120033",19.912398,-99.336212,"2023-06-17T11:09:26",669,19.14
"OWk5NGYzODlyNzAyOTpibG9obWtjbDNjYWNh","130520023",20.142725,-98.817451,"130520023",20.146587,-98.820326,"2023-06-11T09:23:52",168,19.31
"ZWU4NWlpbjVncjRmdDo4azlmNXQ4azl2ZTF1","1301300100222015",20.018785,-99.238751,"1301300010133012",20.006168,-99.220254,"2023-06-11T06:47:19",555,14.09
"Ymw1dWFrNTZsbDc3YTo0NGM1Y24wNGcya3Bl","130760008067A023",20.058653,-99.315355,"1307600080468008",20.068052,-99.319346,"2023-06-10T07:47:29",268,48.54
"MWZoajljMHR1MjY4OjdldGFtcDNxbTA1b2o=","1304100010157022",20.226066,-99.209783,"1304100010138031",20.224435,-99.224632,"2023-06-17T10:17:53",374,43.03
"ZDFzdmc4OXNyc3JpYToxN3RvYWwxdnRxMGxp","1306300010277034",19.910295,-99.333851,"1306300010633014",19.90124,-99.327242,"2023-06-25T06:53",364,118.98
"YmNxZWdlcmF1b3M0dDo5NTVraGhxMDg5dXYx","1304800010783077",20.043547,-98.792646,"1304800012173001",20.049641,-98.791316,"2023-06-18T08:53:03",327,25.7
"Mmg5czE4amRmcWRodjpmOWEwYTR1dWFuaHN2","130540013",20.310824,-99.00718,"1305400100013013",20.300481,-99.026277,"2023-06-11T11:33:17",848,19.31
"NXAzYmloa2RxZWxqMTo5a2gycTdqc2plN2Qx","130630031",19.95836,-99.328959,"1306300010385016",19.936001,-99.339731,"2023-06-24T07:17:13",1027,24.35
"MzExMXBoZDRwZzAzaDo0YWVpaDNzOGJmaXVp","1304800012332013",20.096505,-98.741105,"1304800012328001",20.104358,-98.746641,"2023-06-10T07:56:32",425,27.77
"OGZ2Z2w4NmY3bGxwYzo1YWJoNmhyOWpjdHJp","1304800011936004",20.122597,-98.781445,"1304800010919006",20.121782,-98.764365,"2023-06-04T09:01:56",505,21.07
"OGY4MGxnbnNhMHRraTpjaGs2MGsycWpxYnV0","1306700010399016",20.189288,-99.273169,"130670030",20.179245,-99.288232,"2023-06-17T11:50:07",458,19.14
"OWJ2aWY3dm1udXZ0ajoxczNqZ2owMWpkZG8x","1307600220059012",20.027754,-99.343936,"1307600220222021",20.019214,-99.344323,"2023-06-24T07:19:22",251,8.81
"MTY3c2ZyZWE3N3U1MTo0N3RycGZtYTlxb29l","130690016",19.862916,-98.931048,"130690016",19.877079,-98.932507,"2023-06-03T08:33:58",543,153.34
"OHFuZzVtOW4xNzRvcDo2ODM0ZmRkMmFtaDM0","130630031",19.865491,-99.267418,"130630031",19.865363,-99.26729,"2023-06-10T10:27:01",1140,18.08
"Y2J0OWplaDVwcXNyaDo0Y283ZjFkZ2lrc3Rt","1302800010244016",21.147931,-98.412416,"1302800010507029",21.135614,-98.410013,"2023-06-17T09:00:21",466,106.5
"N2JxbzQ4ZDVnczMwYTplYm85M2JyNnFoMXFq","1307700010978025",20.083845,-98.348043,"130770001008A060",20.080626,-98.364651,"2023-06-10T07:08:23",531,34.79
"ZW5sN2VlbWk3MjJvNDoxb3FpMm9jbGdxOGFq","1305101411895001",20.060585,-98.767798,"1305101411895007",20.060499,-98.765266,"2023-06-03T09:27:26",81,39.4
"YWljOW40aTJpNzYyZDpkMGlucmw2aWMzZGNw","1300800010186012",19.715631,-98.460052,"1300800010097051",19.709923,-98.442242,"2023-06-04T10:20:42",527,28.14
"ZGlta250MGdlOXVsOToydXE0Y29nZW80dG5l","130760001042A028",20.053418,-99.32986,"130760008067A018",20.058138,-99.316986,"2023-06-04T09:07:41",425,31.43
"MWt2cHRscXFuazl1cDoybTJ0N2Fxb2pqdDBw","1305200010288009",20.114872,-98.891652,"1305200010292009",20.113413,-98.885729,"2023-06-11T07:25:35",135,131.89
"OHFhcGViOWU1MWVnMjo1Nm1kdThmZnVwbTJk","130740016",20.090411,-99.249866,"130740016",20.098951,-99.233987,"2023-06-03T08:10:11",627,20.78
"NDA0N3NndnB1Z2V0azphb3NuY2g2b3FkY3Z2","130090018",20.191648,-98.890493,"130090018",20.204179,-98.892682,"2023-06-25T06:20:29",351,19.38
"Y2s0NGQ0ZGo5aTEwajplc3BxcDdjdTU0Y3Fv","1306300010309012",19.905961,-99.336598,"1306300010633012",19.902956,-99.330418,"2023-06-03T08:52:19",322,118.98
"Y3Q4c2p2OTU3YTNlYjoxZG5zNzM0cTMzbGdv","1304800012328001",20.096977,-98.744924,"1304800012328001",20.096891,-98.74501,"2023-06-17T06:45:37",1329,19.14
"YnZqM2Mza2xsODl0cTpjZjE3YjM1Y2dvb282","1302800010507017",21.134927,-98.407352,"1302800010314016",21.133296,-98.416622,"2023-06-04T10:42:54",334,111.3
"MWsxZzBpNXU2MDNndjo4cGVxczQwbXVpcWpl","1304800010603051",20.064619,-98.775694,"1304800010590014",20.069211,-98.778312,"2023-06-04T11:19:32",161,21.54
"OWVwMTdlOTV1dG11bDo3dDcxNGpzNzhmMTE=","1305000010090028",20.257566,-99.186652,"1304100010072026",20.241001,-99.197767,"2023-06-10T07:17:28",993,49.2
"Zmd2aWdsZnVvc2JqaDo4YnMzamJwazExb2Ru","1304800011156040",20.053203,-98.782647,"1304800012169017",20.047452,-98.788354,"2023-06-17T07:32:46",287,26.5
"ZHJnYjBlNDU4dGNlMjoxa3BzY3YxMmpldDg2","1305101381880004",20.057237,-98.75561,"1305101301842014",20.06346,-98.768356,"2023-06-04T06:02:26",414,30.72
"OTRpcXJqYWo4azVxNjo4bHZ0bzE4bmprZmNn","1304800011936029",20.118949,-98.782175,"1304800010529014",20.099638,-98.763378,"2023-06-11T10:41:50",1030,16.99
"MTdsNDNubjZ0a3N0NTo0NTltNGxvYjg1cTdq","130130010",19.947631,-99.23918,"1301300060129038",19.968531,-99.243429,"2023-06-24T11:04:44",756,71.94
"OXE5azNpNnQ2a3ZtcjoxczltZjBnaTB0cmhy","1300300100230011",20.195768,-98.954093,"1300300090090023",20.200188,-98.968856,"2023-06-24T09:15:53",422,21.63
"MnU2dGI0M2k1OWx0dDo4ZTVpYWZ0cGZpamc1","1306100010357029",19.786956,-98.552749,"1306100010573031",19.784639,-98.546827,"2023-06-11T09:19:14",217,34.41
"N2Q1b2k0MzNzdmNwZTo3cGRnYzU0Ym5wZHN0","1304800012008002",20.089638,-98.785179,"1304800012525030",20.089123,-98.793547,"2023-06-04T11:43:42",251,6.67
"OHZ1YWtxMThrbXNuczpjYXU3dnRxZWZqbXE0","1301400100041043",20.900309,-98.454301,"1301400100041012",20.902069,-98.450181,"2023-06-11T06:23:22",122,159.11
"OTYzbzkyaGtpN3FsMTplZWNrMnJpc3FncDc3","1304800012845035",20.02857,-98.783848,"1304800011423006",20.055306,-98.782818,"2023-06-25T10:15:40",903,19.31
"MjA0ajRpZ2g1YWtpYTozZWM3aDU4dmRjZGNi","1308100010148023",20.647752,-98.65978,"1308100010275022",20.65037,-98.657634,"2023-06-10T08:58:14",109,111
"M2Q2dW9xbnVpZjRybzphajRoOG85NHI0OGxw","1304100010142006",20.220015,-99.230039,"1304100010208007",20.225251,-99.215705,"2023-06-11T08:40:19",434,21.11
"ZXQzdHM3NzEzN3RyMjpiODQ0YWFvbmVvb2w4","130760025",20.06037,-99.29291,"1307600080970005",20.041916,-99.306686,"2023-06-04T08:29:47",797,159.25
"N3VybWVvZW52bW9yZzoxNnZwcTRoZGg3MHVr","1301000020095032",20.061915,-99.238579,"1301000020080052",20.057752,-99.233773,"2023-06-18T11:42:26",197,160.73
"NjJvbGw4NTg0bXNpMTpjNmhmbHRzZnVrOGsz","130830133034A025",20.016167,-98.786123,"130480001285A032",20.035093,-98.792474,"2023-06-04T08:47:18",653,67.12
"MW0xazY2N2ltbnBmdDpmcWU1Z2V0Y3ZzZXFj","1304800011512013",20.076678,-98.787196,"130480001239A014",20.050714,-98.789728,"2023-06-04T10:41:18",1036,21.07
"NzRqZmFyNDdjOGFzazo2M20wMGpkMzZ0aXVz","130570005002A029",19.979346,-98.520391,"13057002A",19.984324,-98.517344,"2023-06-10T10:46:55",854,45.22
"ZTZtMWY3cTJnbjBqbjo4bjdjcGNyNnA1Y2x0","1306100020499020",19.776142,-98.580258,"1306100020412005",19.77288,-98.570001,"2023-06-10T09:29:12",385,33.15
"YzdmNDZhMmlhbHNrbzpkdGhmOXVsMmlxcW1v","1305101061734007",20.056851,-98.76797,"130510577",20.057538,-98.744581,"2023-06-10T09:47:59",1207,27.3
"MWJiaXM0ZTE0c2txNDpkYmxlMjVrdmZ0a2Nn","130410015",20.243404,-99.1588,"13041002A",20.238469,-99.179914,"2023-06-18T08:25:24",523,77.79
"NmdxNjE0bzRxZjFycjpldWF1dWxnMzJoMjZh","1306300130046005",19.832189,-99.316471,"1306300090493040",19.83721,-99.328959,"2023-06-04T06:14:46",506,90.62
"Nm90NDA2c2Jhdmo5djo5NnRqYzI4YW0wZzVh","1307700100431003",20.119336,-98.418896,"1307700100431003",20.119293,-98.419025,"2023-06-18T11:00:06",642,79.05
"ZHRiMHJxcGxrNGw1aTo1bGx0ZHMzcmUxNGZu","1304100010072023",20.24143,-99.199569,"1304100010157008",20.229027,-99.209654,"2023-06-04T11:13:48",430,32.22
"ODU2djJ2aGRscXRlYjpicHQ4NW4ydWVqYmdw","1304800010162015",20.111611,-98.76179,"1304800012347023",20.1038,-98.752477,"2023-06-18T10:37:17",755,26.63
"OTdmbWl0cGcwNXF0MDpibGtjZDBvMnA0OWZl","1308200010179017",19.970977,-98.856976,"130820022",19.958403,-98.86483,"2023-06-17T09:12:43",398,41.42
"MjJzbW81MWRxcHJyMDo1dTZidDY1NTN2YTUy","1301000020254007",20.050457,-99.238493,"1301000020080030",20.048525,-99.23064,"2023-06-10T09:20:20",223,18.57
"OWg3Ym5tdGY5cWNzazpvdms0dWd0M2RoZXA=","1308301330354034",20.016382,-98.792002,"1308301330439017",20.01488,-98.790114,"2023-06-25T08:42:22",89,17.01
"Mm44MG1ocXN1ZXF1djoxbmZxOTkxNW52czFj","130670011",20.179846,-99.312437,"130670011",20.17637,-99.315355,"2023-06-25T09:40:29",494,164.46
"NWd0N2dtM20xcWkzcjo0Z2RxZW5uM3FiYW02","130230017",20.242546,-99.058378,"1302300120055007",20.246494,-99.030354,"2023-06-18T09:23:17",716,38.26
"ZDdkMXFmaDFocDE5bDoxMnYwc3E4ZGRvcWJ2","1305100961700010",20.055435,-98.77269,"130510078165A008",20.054061,-98.755953,"2023-06-10T11:30:48",512,18.08
"YmI4b252MDY2aWZsaDo3aDRncmQ4bWc5a2Z0","130770068093A009",20.141437,-98.343837,"1307700010639009",20.127404,-98.365166,"2023-06-04T10:12:49",678,36.17
"ZnRjZGk3MjJndmRjcTphdTdhMjA4NnBiaDc0","130770145",20.157359,-98.298476,"1307700201088042",20.15929,-98.273628,"2023-06-04T10:28:01",773,93.47
"YWtnbWljcW0zbXJtMDpkMWNqN2VwZXNiZDg1","130440017",20.252287,-99.738543,"130440017",20.236924,-99.733822,"2023-06-03T11:11:06",683,20.78
"ZTNuanJpZzk1NjR2ZDo2ZjY5bzlxdDBvanBn","1307700010516024",20.075562,-98.374522,"1307700010713004",20.076549,-98.367956,"2023-06-10T09:56:52",242,18.08
"Ym51czU2bW5qNDM2Yzo1OGZxYjJnOGQ1YjBw","1302800230367007",21.107376,-98.585322,"1302800230348005",21.100852,-98.587854,"2023-06-24T07:48:31",199,159.73
"MmRqYzFib3VjZ3JkNjo4OGYzcmZiazdmdW42","1307700010516020",20.075948,-98.378599,"1307700010501012",20.076506,-98.38598,"2023-06-25T10:08:36",238,9.32
"NHZwc3RiMnU1cm5kZzpjZTZsdDBzN2ZlbmZs","1305200010288041",20.11337,-98.894484,"1305200010292030",20.112598,-98.885987,"2023-06-11T11:35:30",325,131.89
"ZG9lbWwwdDczOWhzcjpjZjRpYjlzcHUzdWY2","1307700010681005",20.09114,-98.367226,"1307700010111039",20.080454,-98.366883,"2023-06-04T11:18:04",308,21.07
"NjNjbDh1a3Jra2RzMDplcnEwOW11MWc2dWU0","1307400010162035",20.082471,-99.228752,"1307400010177001",20.089681,-99.215105,"2023-06-10T07:54:31",578,18.08
"NGIyZzl1anE1M3M1cDo3MjZrZ3NkMnZ0Z284","1300800010186037",19.715803,-98.459752,"1300800010152032",19.70443,-98.45576,"2023-06-18T08:04:32",394,71.32
"Y25jaTIxaGp2MzY4dDoyOHI4ZDFpbjdhbGIy","130760063",20.01415,-99.331663,"1307600220059015",20.038526,-99.340203,"2023-06-10T08:12:10",1005,18.08
"N3A5ZWJuYTJ0OW5ybTo5aTFicXJxdm1lOHR2","1304800010196010",20.123155,-98.738101,"1304800010355012",20.106504,-98.718402,"2023-06-24T08:31:43",1006,10.57
"NzRraW83Zzg3YjIxbzo0N245ZWg5cDFzbXM1","1304600010308017",21.170504,-98.604248,"1304600010276045",21.172264,-98.597295,"2023-06-11T06:06:23",194,133.46
"ZTk2bWd2Mzk2azBqaDpkMmh2a3QzdW5sYjZw","13056015A",20.02033,-98.360875,"13056015A",20.027111,-98.354523,"2023-06-10T07:34:53",299,18.08
"YTE5M2xkN3Q3azFqZTpkY25yMnNxdmcyYWxy","1306700050488016",20.165899,-99.269307,"1306700050488001",20.162766,-99.277503,"2023-06-18T10:56:16",274,67.35
"MzBvbWpkMTdvaWMzNDo3YTJnNmprZ2g3amQ4","130160046",19.963338,-98.275216,"130160046",19.98029,-98.28882,"2023-06-11T06:19:50",542,19.31
"MWYzZzUybmk0Z2hrNTphOThjYWVwNHNvbW1r","1301000010042038",20.044792,-99.209654,"13013003A",20.039599,-99.185836,"2023-06-03T07:00:44",755,81.98
"MmNzcnNyNmI3NDlnOmcycWwzZWZtb2xjcw==","1304800011404008",20.107791,-98.734367,"1304800010143006",20.126631,-98.731406,"2023-06-25T09:57:07",626,162.64
"YmlzbGQ5YWVobDVtaTo3N2JjbGF2aWQ3dDBq","1302800010259003",21.142309,-98.417394,"1302800010263003",21.138318,-98.414562,"2023-06-11T10:37:49",628,118.71
"NjZhbTE2czRxNHBxOTplZHVhMDJzNzVxMzRj","1305101421908016",20.06243,-98.772733,"1304800011298031",20.054748,-98.773205,"2023-06-25T06:07:53",298,34.83
"NTAxdDZpOHFiMGZybTpjOGIwMXE0MmtwcDV1","130760001081A019",20.045006,-99.345782,"1307600220059010",20.027111,-99.343293,"2023-06-10T07:41:30",501,27.24
"ZDN1MmdrNXBjdjlwMDpmNnYzbDdiMDVrMmJj","1304200010084003",20.784609,-98.726814,"1304200010084003",20.784609,-98.726771,"2023-06-25T10:09:49",347,164.38
"ZWFxM3FvaGRocnVjcDozbWprY3BqMGNvbHY0","1301600010309013",20.019128,-98.300836,"1301600010050012",20.035565,-98.309333,"2023-06-17T10:48:16",673,117.19
"N25zcDF1M2FqNjBuMTo4cjRvNW1lMGMwMWg2","1304800011476010",20.127275,-98.781016,"1304800010919017",20.123327,-98.763721,"2023-06-10T09:55:25",424,59.01
"MWprNHB1MGJrbGI4NTpmbzlvbmprOWYyc3Fn","1302100010065009",19.651043,-98.544338,"1302100010101024",19.660099,-98.544595,"2023-06-03T10:24:31",283,63.9
"YmNta3IxbWxya21lZTo0Y2ZuZDdnMDVtaDBq","130750013",19.930251,-98.924696,"1307500010066017",19.956858,-98.920963,"2023-06-11T09:05:59",1125,79.21
"N2RlMmFrbTh1dXJoNjo5bWdkMmU0NXBxMTM2","1301600290277023",20.039384,-98.295257,"130160205",20.042002,-98.304527,"2023-06-03T06:28:06",415,20.78
"OW9rcm9iYzVwaWI1Zzpmbm9tanVidGs2OXZt","1307700180569064",20.179546,-98.306501,"1307700180569010",20.174954,-98.310921,"2023-06-11T07:36:25",186,159.12
"ZjRuZGduZzZlOTJlOTpkOGNkYWo1YjZzdjhn","1302800010507026",21.134412,-98.411729,"1302800010263028",21.141193,-98.412673,"2023-06-10T06:26:21",230,30.33
"ZXByYW5rOGk3Ym83bDo2bXY1Z3ZlcGgyaWkw","130760063",20.003507,-99.327114,"1307600271004001",19.99501,-99.338229,"2023-06-25T11:11:59",607,23.29
"OGRncXJjZjdlaGp2NTpjbTBwaWphcWNrOTU=","130240014",20.214179,-98.571503,"130240048",20.205295,-98.572361,"2023-06-04T11:49:02",392,51.46
"NTJqcm00OGRobmZhdTo1ZGoxODFxcnMydnRi","130510577",20.059941,-98.689992,"1305100010204001",20.069597,-98.697202,"2023-06-18T09:21:21",395,20.18
"Zm82amk5a3Y1OGpxdTo2N2w5Z2tpbmdzMGt1","130690016",19.870298,-98.956883,"130690050118A036",19.870427,-98.966067,"2023-06-24T10:39:12",254,21.63
"ZjJnZ3JwdTM5MGdvbjpiNXVnY3RlaWJucHJu","130280001048A021",21.140292,-98.403575,"1302800010314036",21.135142,-98.415635,"2023-06-04T07:39:08",439,21.07
"MWN2MG4zOW4wcm42ZzpjZjJndmZhNzNhcmhn","130770164",20.125902,-98.399756,"130770164",20.117834,-98.40246,"2023-06-25T07:40:57",393,96.6
"YWIxYjZucm1lYmw4aTpka3JjcThsZ251OGIx","1304800010425014",20.105774,-98.748744,"1304800010285012",20.129807,-98.745096,"2023-06-24T10:20:14",637,23.32
"NHBnZDlvMjA3cHFvbTo5cWdnYW5xbTJuNjJ2","130500029",20.294988,-99.17661,"130500029",20.286834,-99.194033,"2023-06-24T09:48:13",571,21.63
"MjNwbGpxMzJja2JqNDoxMzAwbm9idWwzdWw0","1306100010357008",19.78687,-98.555238,"1306100010323028",19.785669,-98.552492,"2023-06-11T08:45:48",95,51.56
"NmFqaTI5MXIzMmQ3Njo0dTFlNmZmYmJmcmhq","1304600270257037",21.17295,-98.657162,"1304600040191002",21.164024,-98.664672,"2023-06-04T10:21:41",330,148.14
"OTB0NHFrMDF2MGM0Zjo2cTVwdjM2MGE1bHZv","1304800012417027",20.112855,-98.747327,"1304800012192031",20.090625,-98.738658,"2023-06-11T06:20:03",1212,21.86
"ZjdmaDY5bGU5ZTdwaTplc2JxNDI5dWk5c3Ju","1308100010256028",20.65891,-98.653729,"1308100010171005",20.652001,-98.651283,"2023-06-18T07:22:42",205,167.26
"ODgzZXFyZ25rcnB0Yjo5cmVpNHIwNGcwaWdp","1306300090493040",19.836867,-99.329002,"1306300090506026",19.823134,-99.323165,"2023-06-18T08:36:30",427,159.14
"ZTduaDlsOTZua2g2ZDo0bWVsdGZwYWk0cDhx","1306700010401031",20.186241,-99.269993,"1306700010399026",20.180275,-99.265015,"2023-06-24T11:32:11",210,160.91
"NmI2ZjBrZjdvYjlkZDoydWRzcjJxajIxb25t","1306900440779009",19.875534,-98.970959,"1306900051067015",19.857895,-98.95345,"2023-06-24T11:47:44",802,21.63
"YXBnODQyMm1jMG1kNzo3ZWs4M3RvZDVyaGZp","1306100020376012",19.77318,-98.573563,"1306100020484017",19.782879,-98.572233,"2023-06-24T09:40:51",475,119.96
"ZGVhYmEwdmM4djR0MToyODQ0aTZpdmo2ZmZn","1308100010148034",20.64728,-98.66257,"1308100010260003",20.660026,-98.659222,"2023-06-04T11:20:35",415,162.44
"Zjh0MmFkM2pnNjRyOTozZWNvcWowNzlsdWRr","130770001008A020",20.085304,-98.366153,"1305600010183009",20.059168,-98.35933,"2023-06-17T10:39:03",679,15.54
"OGV0YmFpczJzNTZsOjZmZWd2OXVndDFuZ3E=","1301600390332016",20.021274,-98.311822,"1301600010313034",20.01518,-98.30178,"2023-06-17T11:53:39",428,44.65
"ZXRodTgyMGs2YjhzaDozOWs1MmtrOTE3cTZw","1301400010107029",20.896919,-98.592188,"130140001008A003",20.896189,-98.583219,"2023-06-03T10:08:16",227,163.01
"MWJoMG9tamNscjBsdTphaTVzMzh1Z3ZrYjhk","1304800012192037",20.089467,-98.740289,"1304800010976010",20.112898,-98.752091,"2023-06-17T08:03:14",812,14.81
"Y3VkcTVvY3QwZHIyZzozbHM4OWJycWE4N2tq","1304800010389026",20.106204,-98.76385,"1304800010919040",20.119636,-98.764021,"2023-06-24T11:18:41",444,21.63
"OGN1Z3RlNWNicTVjbTpjOG1sdmgxYTRuNW4y","1301300060241001",19.98265,-99.243429,"1301300060114040",19.974625,-99.248278,"2023-06-10T08:39:02",343,57.55
"MWhlcDJlaHFjYWVncDo0dnRwZTRtaDVzaTM3","1300500010199016",20.092556,-99.122107,"130050057",20.108221,-99.120734,"2023-06-10T09:58:36",417,23.14
"MzBkaW0zdmtvM3B1ajoyajQ5MzFwN2h1MTht","130480020",20.14075,-98.814704,"1304801582686024",20.115516,-98.824146,"2023-06-03T10:05:22",1339,7.42
"NmlzZzZsMGRpNzhqdjpmb2NsNmdxMnQ0MWx2","1306600010048041",19.88476,-98.818009,"1306600010048043",19.887979,-98.816421,"2023-06-25T11:07:14",95,18.13
"MmVhbmNla2N1NmJhajo4Z2tubm9qZDlzb2wy","1305100010191051",20.070112,-98.691795,"13022001A",20.064361,-98.669307,"2023-06-24T08:00:19",909,37.57
"YTRqZDNjbnI5b2JqZzphZDRjcmkyczF2dmx2","130690016",19.887722,-98.935769,"130690016",19.871285,-98.946283,"2023-06-18T06:22:27",1473,20.18
"YzdvNGFhbXRkdDJ1MDphbWFoZHQxc28yZ2c5","1304800010247029",20.113585,-98.73677,"1304800010209013",20.119507,-98.735397,"2023-06-24T09:44:26",253,12.84
"Y201ZWc0cHRpZWZoazoyamRraWVwMmNhbHMz","1300300010349012",20.272157,-98.94491,"1300300010211030",20.265291,-98.944008,"2023-06-11T11:01:42",286,19.95
"MW9saDJ2dDIyaXJhMjpmN2o1NTFwcW9wc2I=","1300500010220015",20.084746,-99.117815,"1300500010201032",20.092728,-99.123952,"2023-06-11T11:22:59",295,173.06
"ZTdoajluajMxMHBzZzo0cnNrajRwcmo2bXY=","1300500010216022",20.0932,-99.11052,"1300500010199034",20.095046,-99.128501,"2023-06-24T10:11:12",441,159.25
"Yzhzb3Mxa204MmgxdDozNmNqZjFkZDNrY2My","1306100020249041",19.777,-98.565967,"1306100020427017",19.776528,-98.570559,"2023-06-11T09:07:42",163,79.87
"NWhpMWIxYXVscDN1MjoyMXFhZTA5M2d0czho","1304800012008071",20.086462,-98.783033,"1304800011349007",20.083973,-98.78166,"2023-06-18T08:37:32",135,20.18
"OXRhNDdncjR0cGZocDpkbDl1bm5qaW44Zmp0","1306300010633020",19.899094,-99.331105,"1306300010309023",19.906089,-99.337971,"2023-06-24T06:36:51",304,110.48
"MTNhc2JtbzJkbnFkcTo0a240azQ3ZG8zZ2c0","1302800010263025",21.140163,-98.413703,"1302800010475012",21.147974,-98.402116,"2023-06-03T09:28:01",341,141.74
"ZXFtN2k5MjVrZmFoczo4cGVhdG4wdnNwMjQ5","1307700010022018",20.091612,-98.355467,"1307700010037010",20.089381,-98.35727,"2023-06-03T09:44:48",103,130.46
"NTk2cXIxNW9qYnJjbDpoZ3N1Nm5tdGZvdWw=","130820022",20.005825,-98.831613,"1308200020215034",20.01651,-98.840797,"2023-06-24T06:03:44",1861,86.98
"Nzk3bGhmZTBhc3RyNjo0dGFjY3F2aTQ4cmRh","1300200010125007",20.158303,-98.203204,"1300200170017002",20.151994,-98.209856,"2023-06-25T08:03:38",233,23.29
"Zmh0cGc1a2Mzb3Y1ajo5NWRxdmhtNXNhZG8w","1304200010101028",20.786541,-98.731663,"1304200010099009",20.795038,-98.734367,"2023-06-17T07:59:07",265,161.03
"YzRkOG8yOW9nc2JyMDpibmxzaTg5MHJlMGwx","1301300060241001",19.982221,-99.243858,"1301300060114034",19.979904,-99.243772,"2023-06-18T11:33:12",77,33.5
"NHVvOXN0bGxyNGpyYTo3ZTVxcXRlazZlODVt","1304800010124017",20.123928,-98.744752,"1304800010919014",20.121052,-98.764021,"2023-06-24T10:30:38",465,26.98
"NmtkOXA1Zjh2b25zZTpib3RqbzgzNm83c3Vv","1307400020088017",20.093629,-99.239051,"130740016",20.102127,-99.219697,"2023-06-18T11:43:16",754,27.23
"ZHZyN2k1M3NxZDBkbjpjcGx0dnJ2b2o4dW5x","13008003A",19.662716,-98.51949,"1302100010084011",19.657309,-98.539703,"2023-06-17T08:47:08",715,26.85
"Y2VmM2JkdG5xc2VmMzozdms0NDkxdjVjdDFl","130630031",19.939606,-99.293683,"130630031",19.934199,-99.317629,"2023-06-25T11:12:02",1017,23.29
"N3J2YWM3aTBhODBuYjozbDd0aXZtaWNyN2Fq","1307600220059012",20.028055,-99.343936,"1307600220222021",20.019257,-99.344409,"2023-06-17T09:02:43",257,28.13
"M2ZjajAyb2NycDZhMjpmZGpsNGhubDc0czQ4","1304800010285018",20.132983,-98.747542,"1304800010976008",20.108306,-98.755052,"2023-06-18T09:09:53",857,20.18
"YWtsc3VuOGtnMzI1ZjpiZ3IwcjRoNzk3OXZu","1305101391575001",20.068095,-98.730977,"1305100901274008",20.078566,-98.748229,"2023-06-10T06:22:43",610,32.44
"ZmNsbnA0ajhmdjljcjpjOHExM2NmNWJpYTc4","1304800012421037",20.035479,-98.79844,"130480001292A039",20.057366,-98.800499,"2023-06-17T11:27:38",1198,60.67
"MWN2MG4zOW4wcm42ZzpjZjJndmZhNzNhcmhn","130770164",20.117877,-98.402073,"130770164",20.117919,-98.402159,"2023-06-17T06:25:32",382,128.79
"MWtqNTNiY2I1MG9mbTpmNm1va3VlNmQybzFu","130760063",19.979389,-99.339387,"1307600271019016",19.989002,-99.34531,"2023-06-10T06:58:47",351,74.87
"YjY4YjZ1czFqcWNjODo4dWQ5dGlscGQ4MzZh","130510139158A033",20.063889,-98.72896,"130510577",20.051229,-98.716643,"2023-06-18T10:08:59",746,37.62
